timestamp,score,ganancia_estimada,porcentaje_bajistas,prediccion_futura,ema,rsi,momentum,spread,rf_spike,lstm_spike,visual_spike,ultima_direccion,accion,monto,multiplicador,exito,Q0,Q1,Q2,Q3,ema_diff
2025-06-10 20:34:00,1.03,52.81,93.33,0.8827,18082.320352042498,0.0,-1.0610000000015134,1.0580000000009022,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-0.9298281691371812
2025-06-10 20:35:00,1.03,52.74,93.33,0.8822,18081.36534310283,0.0,-0.9609999999993306,0.9180000000014844,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-0.9550089396689144
2025-06-10 20:36:00,1.03,52.66,93.33,0.8813,18080.371262738256,0.0,-1.1650000000008731,1.157999999999447,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-0.9940803645731648
2025-06-10 20:37:00,1.03,52.65,93.33,0.8814,18079.332861833045,0.0,-1.0979999999981374,1.0900000000001455,0.0,0.0,0.0,0.0,3,4.0,400,0,0.0,0.0,0.0,0.0,-1.0384009052104377
2025-06-10 20:38:00,1.03,52.71,93.33,0.8812,18078.27166783865,0.0,-1.1150000000016007,1.1080000000001746,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0611939943955804
2025-06-10 20:38:59,1.03,52.75,93.33,0.8811,18077.19595946223,0.0,-1.0969999999979336,1.0669999999990978,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0757083764183335
2025-06-10 20:39:59,1.03,52.57,93.33,0.8812,18076.14448525984,0.0,-0.9250000000029104,0.919000000001688,0.0,0.0,0.0,0.0,2,3.0,300,0,0.0,0.0,0.0,0.0,-1.051474202391546
2025-06-10 20:41:00,1.09,42.24,96.67,0.8806,18075.09518434749,0.0,-1.143000000000029,1.1300000000010186,0.0,0.0,0.0,0.0,2,3.0,300,0,0.0,0.0,0.0,0.0,-1.0493009123492811
2025-06-10 20:42:00,1.2,32.09,100.0,0.8806,18074.00345398468,0.0,-1.205999999998312,1.1749999999992724,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0917303628120862
2025-06-10 20:43:00,1.2,32.12,100.0,0.8808,18072.897221262472,0.0,-1.0780000000013388,1.070999999999913,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.1062327222061867
2025-06-10 20:43:59,1.2,31.98,100.0,0.8808,18071.82377621699,0.0,-0.948999999996886,0.9419999999990978,0.0,0.0,0.0,0.0,3,4.0,400,0,0.0,0.0,0.0,0.0,-1.0734450454838225
2025-06-10 20:44:59,1.2,32.01,100.0,0.8804,18070.76347002948,0.0,-1.103000000002794,1.092000000000553,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.060306187508104
2025-06-10 20:46:00,1.2,32.15,100.0,0.8805,18069.68559563948,0.0,-1.1219999999993888,1.1009999999987483,0.0,0.0,0.0,0.0,2,3.0,300,0,0.0,0.0,0.0,0.0,-1.077874390000943
2025-06-10 20:47:00,1.2,32.22,100.0,0.8803,18068.577134270992,0.0,-1.2099999999991269,1.1820000000006985,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.108461368487042
2025-06-10 20:48:00,1.2,32.22,100.0,0.8805,18067.4614700491,0.0,-1.0649999999986903,1.0649999999986903,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.1156642218920751
2025-06-10 20:49:00,1.2,32.17,100.0,0.8802,18066.35891796668,0.0,-1.0850000000027649,1.0780000000013388,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.102552082418697
2025-06-10 20:50:00,1.2,32.51,100.0,0.88,18065.228350043926,0.0,-1.2710000000006405,1.2360000000007858,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.13056792275529
2025-06-10 20:51:00,1.2,32.72,100.0,0.8802,18064.088994657428,0.0,-1.0639999999984866,1.054000000000087,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.1393553864982096
2025-06-10 20:52:00,1.2,32.57,100.0,0.88,18062.978186506145,0.0,-1.044000000001688,1.0360000000000582,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.1108081512829813
2025-06-10 20:53:00,1.2,32.3,100.0,0.88,18061.915100058515,0.0,-0.9029999999984284,0.8930000000000291,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0630864476297577
2025-06-10 20:54:00,1.2,31.94,100.0,0.8797,18060.899116568024,0.0,-0.9350000000013096,0.9240000000027068,0.0,0.0,0.0,0.0,3,4.0,400,0,0.0,0.0,0.0,0.0,-1.0159834904916352
2025-06-10 20:55:00,1.19,32.2,100.0,0.8791,18059.839359024805,0.0,-1.3229999999966822,1.3219999999964784,0.0,0.0,0.0,0.0,2,3.0,300,0,0.0,0.0,0.0,0.0,-1.0597575432184383
2025-06-10 20:56:00,1.19,32.58,100.0,0.8797,18058.728215546773,0.0,-1.1270000000004077,1.1080000000001746,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.111143478032318
2025-06-10 20:57:00,1.19,32.34,100.0,0.8796,18057.63873933289,0.0,-0.9790000000029976,0.95600000000195,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0894762138814258
2025-06-10 20:58:00,1.19,32.25,100.0,0.879,18056.54196599964,0.0,-1.2199999999975262,1.1970000000001164,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0967733332508942
