timestamp,fecha,hora,open,high,low,close,spread,fuerza_cuerpo,fuerza_mecha,score,rsi,ema,momentum,variacion,alcista,volumen_tick,spike_real,spike_anticipado,ganancia_esperada,duracion_estimada,operacion_exitosa
1751169900,06-29-25,4:05:00,16613.078,16613.078,16612.163,16612.163,0.915,0.915,0,0,60.24704353,16613.09139,-0.927,-5.57994E-05,0,60,0,0,0,0,0
1751169960,06-29-25,4:06:00,16612.162,16612.162,16611.185,16611.185,0.977,0.977,0,0,60.19858946,16612.74477,-0.978,-5.88725E-05,0,60,0,0,0,0,0
1751170020,06-29-25,4:07:00,16611.184,16611.184,16610.229,16610.229,0.955,0.955,0,0,60.17625232,16612.28736,-0.956,-5.75516E-05,0,60,0,0,0,0,0
1751170080,06-29-25,4:08:00,16610.217,16610.217,16609.27,16609.27,0.947,0.947,0,0,60.08335906,16611.73875,-0.959,-5.77355E-05,0,60,0,0,0,0,0
1751170140,06-29-25,4:09:00,16609.26,16609.26,16608.322,16608.322,0.938,0.938,0,0,60.15207245,16611.11751,-0.948,-5.70766E-05,0,60,0,0,0,0,0
1751170200,06-29-25,4:10:00,16608.31,16608.31,16607.214,16607.214,1.096,1.096,0,0,60.05554698,16610.40778,-1.108,-6.67135E-05,0,60,0,0,0,0,0
1751170260,06-29-25,4:11:00,16607.203,16607.203,16606.381,16606.381,0.822,0.822,0,0,0,16609.67566,-0.833,-5.01589E-05,0,60,0,0,0,0,0
1751170320,06-29-25,4:12:00,16606.379,16606.379,16605.59,16605.59,0.789,0.789,0,0,0,16608.93281,-0.791,-4.76323E-05,0,60,0,0,0,0,0
1751170380,06-29-25,4:13:00,16605.587,16605.587,16604.783,16604.783,0.804,0.804,0,0,0,16608.17829,-0.807,-4.85981E-05,0,60,0,0,0,0,0
1751170440,06-29-25,4:14:00,16604.781,16604.781,16603.817,16603.817,0.964,0.964,0,0,0,16607.38532,-0.966,-0.000058176,0,60,0,0,0,0,0
1751170500,06-29-25,4:15:00,16603.792,16603.792,16602.998,16602.998,0.794,0.794,0,0,0,16606.58762,-0.819,-0.000049326,0,60,0,0,0,0,0
1751170560,06-29-25,4:16:00,16602.959,16602.959,16601.95,16601.95,1.009,1.009,0,0,0,16605.74441,-1.048,-6.31211E-05,0,60,0,0,0,0,0
1751170620,06-29-25,4:17:00,16601.906,16601.906,16600.945,16600.945,0.961,0.961,0,0,0,16604.87179,-1.005,-6.05351E-05,0,60,0,0,0,0,0
1751170680,06-29-25,4:18:00,16600.919,16600.919,16599.851,16599.851,1.068,1.068,0,0,0,16603.95891,-1.094,-6.58999E-05,0,60,0,0,0,0,0
1751170740,06-29-25,4:19:00,16599.851,16599.851,16598.99,16598.99,0.861,0.861,0,0,0,16603.05547,-0.861,-5.18679E-05,0,60,0,0,0,0,0
1751170800,06-29-25,4:20:00,16598.956,16598.956,16598.029,16598.029,0.927,0.927,0,0,0,16602.14156,-0.961,-5.78951E-05,0,60,0,0,0,0,0
1751170860,06-29-25,4:21:00,16598.019,16598.019,16597.217,16597.217,0.802,0.802,0,0,0,16601.24618,-0.812,-4.89215E-05,0,60,0,0,0,0,0
1751170920,06-29-25,4:22:00,16597.204,16597.204,16596.047,16596.047,1.157,1.157,0,0,0,16600.30087,-1.17,-7.04937E-05,0,60,0,0,0,0,0
1751170980,06-29-25,4:23:00,16596.037,16596.037,16595.097,16595.097,0.94,0.94,0,0,0,16599.35471,-0.95,-5.72425E-05,0,60,0,0,0,0,0
1751171040,06-29-25,4:24:00,16595.083,16595.083,16593.93,16593.93,1.153,1.153,0,0,0,16598.36839,-1.167,-0.000070322,0,60,0,0,0,0,0
1751171100,06-29-25,4:25:00,16593.903,16593.903,16593.026,16593.026,0.877,0.877,0,0,0,16597.39704,-0.904,-5.44778E-05,0,60,0,0,0,0,0
1751171160,06-29-25,4:26:00,16593.001,16593.001,16592.117,16592.117,0.884,0.884,0,0,0,16596.43715,-0.909,-5.47821E-05,0,60,0,0,0,0,0
1751171220,06-29-25,4:27:00,16592.105,16592.105,16591.263,16591.263,0.842,0.842,0,0,0,16595.49639,-0.854,-5.14702E-05,0,60,0,0,0,0,0
1751171280,06-29-25,4:28:00,16591.243,16591.243,16590.281,16590.281,0.962,0.962,0,0,0,16594.54813,-0.982,-5.91878E-05,0,60,0,0,0,0,0
1751171340,06-29-25,4:29:00,16590.268,16590.268,16589.271,16589.271,0.997,0.997,0,0,0,16593.58865,-1.01,-0.000060879,0,60,0,0,0,0,0
1751171400,06-29-25,4:30:00,16589.266,16589.266,16588.224,16588.224,1.042,1.042,0,0,0,16592.61325,-1.047,-6.31131E-05,0,60,0,0,0,0,0
1751171460,06-29-25,4:31:00,16588.209,16588.209,16587.345,16587.345,0.864,0.864,0,0,0,16591.65538,-0.879,-5.29894E-05,0,60,0,0,0,0,0
1751171520,06-29-25,4:32:00,16587.338,16587.338,16586.319,16586.319,1.019,1.019,0,0,0,16590.68512,-1.026,-6.18544E-05,0,60,0,0,0,0,0
