fuerza_cuerpo,fuerza_mecha,bajistas,rsi,momentum,spread,score,ema,variacion,spike
2.5720000000001164,0.8369999999995343,0.0,50.0,2.5650000000023283,3.4089999999996508,-1.8310223321372522e-05,16993.13911081687,0.00015139169404657557,1
2.5720000000001164,0.8369999999995343,0.0,50.0,2.5650000000023283,3.4089999999996508,-1.8310223321372522e-05,16993.13911081687,0.00015139169404657557,1
18.68800000000192,0.9589999999989232,0.0,50.0,18.673000000002503,19.647000000000844,0.00021400371272988533,16995.7123469104,0.0010998998389584855,1
18.68800000000192,0.9589999999989232,0.0,50.0,18.673000000002503,19.647000000000844,0.00021400371272988533,16995.7123469104,0.0010998998389584855,1
35.498999999999796,0.8719999999993888,0.0,50.0,35.49699999999939,36.370999999999185,0.00037294866944990676,17003.015557905648,0.002088973598337189,1
35.498999999999796,0.8719999999993888,0.0,50.0,35.49699999999939,36.370999999999185,0.00037294866944990676,17003.015557905648,0.002088973598337189,1
9.985000000000582,0.9099999999962165,0.0,50.0,9.965000000000146,10.894999999996799,7.224281034923206e-05,17021.215014024176,0.0005866921532554235,1
9.985000000000582,0.9099999999962165,0.0,50.0,9.965000000000146,10.894999999996799,7.224281034923206e-05,17021.215014024176,0.0005866921532554235,1
6.404999999998836,0.9040000000022701,0.0,50.0,6.383999999998196,7.309000000001106,2.9533070902623318e-05,17024.40777091227,0.00037627691819268853,1
6.404999999998836,0.9040000000022701,0.0,50.0,6.383999999998196,7.309000000001106,2.9533070902623318e-05,17024.40777091227,0.00037627691819268853,1
8.608000000000175,1.0820000000021537,0.0,50.0,8.593000000000757,9.690000000002328,0.00014258103478266448,17026.703812564545,0.0005055076135037348,1
8.608000000000175,1.0820000000021537,0.0,50.0,8.593000000000757,9.690000000002328,0.00014258103478266448,17026.703812564545,0.0005055076135037348,1
4.294999999998254,0.9210000000020955,0.0,50.0,4.275999999998021,5.216000000000349,2.367777414413025e-06,17031.88451829625,0.0002521870844159863,1
4.294999999998254,0.9210000000020955,0.0,50.0,4.275999999998021,5.216000000000349,2.367777414413025e-06,17031.88451829625,0.0002521870844159863,1
26.970000000001164,1.0630000000019209,0.0,50.0,26.968000000000757,28.033000000003085,0.0002683162213594342,17007.789751863962,0.0015865561689416522,1
26.970000000001164,1.0630000000019209,0.0,50.0,26.968000000000757,28.033000000003085,0.0002683162213594342,17007.789751863962,0.0015865561689416522,1
15.690999999998894,0.008000000001629815,0.0,50.0,15.64799999999741,15.699000000000524,0.0004685963395556275,17016.379387611352,0.0009216379275709765,1
15.690999999998894,0.008000000001629815,0.0,50.0,15.64799999999741,15.699000000000524,0.0004685963395556275,17016.379387611352,0.0009216379275709765,1
1.7919999999976426,0.8960000000006403,0.0,50.0,1.7799999999988358,2.687999999998283,-2.16529322430582e-05,17013.22943055373,0.00010535394398236982,1
1.7919999999976426,0.8960000000006403,0.0,50.0,1.7799999999988358,2.687999999998283,-2.16529322430582e-05,17013.22943055373,0.00010535394398236982,1
31.40599999999904,0.9769999999989523,0.0,50.0,31.38799999999901,32.38299999999799,0.00033466341895952605,16970.174582525335,0.0018516445151471868,1
31.40599999999904,0.9769999999989523,0.0,50.0,31.38799999999901,32.38299999999799,0.00033466341895952605,16970.174582525335,0.0018516445151471868,1
17.251000000000204,1.0,0.0,50.0,17.22399999999834,18.251000000000204,0.0005348095700120294,16980.2809023516,0.0010152875192319742,1
17.251000000000204,1.0,0.0,50.0,17.22399999999834,18.251000000000204,0.0005348095700120294,16980.2809023516,0.0010152875192319742,1
23.747999999999593,1.087999999999738,0.0,50.0,23.733000000000175,24.83599999999933,0.0002332930464369881,17003.179744794135,0.0013968941750900847,1
23.747999999999593,1.087999999999738,0.0,50.0,23.733000000000175,24.83599999999933,0.0002332930464369881,17003.179744794135,0.0013968941750900847,1
2.632999999997992,0.8369999999995343,0.0,50.0,2.6199999999989814,3.469999999997526,-1.6183998160186565e-05,17001.200887000756,0.00015490993602201942,1
2.632999999997992,0.8369999999995343,0.0,50.0,2.6199999999989814,3.469999999997526,-1.6183998160186565e-05,17001.200887000756,0.00015490993602201942,1
26.313999999998487,1.0130000000026484,0.0,50.0,26.292999999997846,27.327000000001135,0.0002629240475070919,16993.225531797056,0.0015492651176251889,1
26.313999999998487,1.0130000000026484,0.0,50.0,26.292999999997846,27.327000000001135,0.0002629240475070919,16993.225531797056,0.0015492651176251889,1
7.844999999997526,0.8400000000037835,0.0,50.0,7.82499999999709,8.68500000000131,4.248704808983228e-05,17004.014136551275,0.00046143554627689894,1
7.844999999997526,0.8400000000037835,0.0,50.0,7.82499999999709,8.68500000000131,4.248704808983228e-05,17004.014136551275,0.00046143554627689894,1
15.544000000001688,1.109999999996944,0.0,50.0,15.540000000000873,16.653999999998632,0.00013847579997119884,16986.255751833174,0.0009154347157650996,1
15.544000000001688,1.109999999996944,0.0,50.0,15.540000000000873,16.653999999998632,0.00013847579997119884,16986.255751833174,0.0009154347157650996,1
14.712999999999738,1.0610000000015134,0.0,50.0,14.702000000001135,15.774000000001251,0.00012541780226118805,16986.84844260993,0.000866437736617046,1
14.712999999999738,1.0610000000015134,0.0,50.0,14.702000000001135,15.774000000001251,0.00012541780226118805,16986.84844260993,0.000866437736617046,1
11.522000000000844,0.9399999999986903,0.0,50.0,11.501000000000204,12.461999999999534,8.84294346805641e-05,16951.82226862402,0.00067992587025884,1
11.522000000000844,0.9399999999986903,0.0,50.0,11.501000000000204,12.461999999999534,8.84294346805641e-05,16951.82226862402,0.00067992587025884,1
