epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas,futuro
1750135620.0,17413.845,17413.845,17413.453,17413.453,0.392,26.26,-2.25108e-05,-4.88274e-05,62.27028052,17396.48447,0.392,0.0,0.0,0.0,1.0,9.725999999998749
1750135680.0,17413.434,17413.434,17412.38,17412.38,1.054,-1.073,-6.0528e-05,-5.24574e-05,62.39159876,17399.37456,1.054,0.0,0.0,0.0,1.0,9.755999999997584
1750135740.0,17412.323,17412.323,17411.436,17411.436,0.887,-0.944,-5.09409e-05,-5.2111e-05,62.572974,17401.56754,0.887,0.0,0.0,0.0,1.0,9.659999999999854
1750135800.0,17411.435,17424.211,17411.404,17423.179,12.807,11.743,0.000674499,9.48421e-05,72.0436019,17405.49689,11.744,1.032,0.031,1.032,0.8,-3.0309999999990396
1750135860.0,17423.153,17423.153,17422.136,17422.136,1.017,-1.043,-5.83706e-05,9.64298e-05,72.19003476,17408.52218,1.017,0.0,0.0,0.0,0.8,-3.330999999998312
1750135920.0,17422.12,17422.12,17421.096,17421.096,1.024,-1.04,-5.87759e-05,8.91768e-05,72.10511337,17410.80832,1.024,0.0,0.0,0.0,0.8,6.07499999999709
1750135980.0,17421.058,17421.058,17420.148,17420.148,0.91,-0.948,-5.22356e-05,9.08352e-05,73.4740831,17412.50652,0.91,0.0,0.0,0.0,0.8,16.590000000000146
1750136040.0,17420.121,17420.121,17418.805,17418.805,1.316,-1.343,-7.55448e-05,8.59145e-05,73.10096755,17413.65169,1.316,0.0,0.0,0.0,0.8,16.938999999998487
1750136100.0,17418.784,17427.981,17418.639,17427.171,9.342,8.366,0.000481492,4.7313e-05,78.22294949,17416.10974,8.387,0.81,0.145,0.81,0.8,7.335000000002765
1750136160.0,17437.707,17437.707,17436.738,17436.738,0.969,9.567,-5.55692e-05,4.78732e-05,82.54895884,17419.86033,0.969,0.0,0.0,0.0,0.8,27.623999999999796
1750136220.0,17436.715,17436.715,17435.744,17435.744,0.971,-0.994,-5.56871e-05,4.8491e-05,84.13199771,17422.74826,0.971,0.0,0.0,0.0,0.8,239.28000000000247
1750136280.0,17435.741,17435.741,17434.506,17434.506,1.235,-1.238,-7.08315e-05,4.47718e-05,83.73401994,17424.88603,1.235,0.0,0.0,0.0,0.8,239.46999999999753
1750140240.0,17465.354,17465.354,17464.362,17464.362,0.992,-1.006,-5.67982e-05,0.000454199,76.50128719,17452.42613,0.992,0.0,0.0,0.0,1.0,208.30799999999726
1750145280.0,17675.964,17675.964,17675.024,17675.024,0.94,-0.961,-5.31796e-05,0.000188617,59.59965438,17663.47015,0.94,0.0,0.0,0.0,1.0,-3.44800000000032
1750145340.0,17675.024,17675.024,17673.976,17673.976,1.048,-1.048,-5.92927e-05,0.000187915,59.67700072,17665.3803,1.048,0.0,0.0,0.0,1.0,-3.3739999999997963
1750145400.0,17673.969,17673.969,17672.67,17672.67,1.299,-1.306,-7.34979e-05,0.000184508,59.15835215,17666.7057,1.299,0.0,0.0,0.0,1.0,-3.1699999999982538
1750145460.0,17672.666,17672.666,17671.576,17671.576,1.09,-1.094,-6.16772e-05,0.000184893,59.39266956,17667.5912,1.09,0.0,0.0,0.0,1.0,-3.110000000000582
