open,high,low,close,spread,momentum,ema,rsi,target
17678.363,17678.363,17677.354,17677.354,1.0090000000018335,-1.018000000000029,17678.186909090906,0.0,1
17678.363,17678.363,17677.354,17677.354,1.0090000000018335,0.0,17678.035471074374,0.0,1
17677.343,17677.343,17676.284,17676.284,1.059000000001106,-1.069999999999709,17677.71702178812,0.0,1
17677.343,17677.343,17676.284,17676.284,1.059000000001106,0.0,17677.456472372098,0.0,0
17676.283,17695.869,17675.558,17695.544,20.310999999997875,19.260000000002037,17680.74511375899,90.21922428330727,0
17676.283,17695.869,17675.558,17695.544,20.310999999997875,0.0,17683.435820348262,90.21922428330727,1
17695.541,17695.541,17694.404,17694.404,1.1370000000024447,-1.140000000003056,17685.430034830395,85.6456776947612,1
17695.541,17695.541,17694.404,17694.404,1.1370000000024447,0.0,17687.06166486123,85.6456776947612,1
17694.36,17694.36,17693.282,17693.282,1.0780000000013388,-1.1219999999993888,17688.19263488646,81.57560355780853,1
17694.36,17694.36,17693.282,17693.282,1.0780000000013388,0.0,17689.117973998014,81.57560355780853,1
17693.235,17693.235,17692.227,17692.227,1.0080000000016298,-1.055000000000291,17689.68325145292,78.08635718629034,1
17693.235,17693.235,17692.227,17692.227,1.0080000000016298,0.0,17690.145751188753,78.08635718629034,0
17692.21,17692.21,17691.221,17691.221,0.988999999997759,-1.0059999999975844,17690.341250972615,75.02629426200953,0
17692.21,17692.21,17691.221,17691.221,0.988999999997759,0.0,17690.50120534123,75.02629426200953,1
17691.212,17691.212,17690.111,17690.111,1.1009999999987485,-1.110000000000582,17690.43025891555,74.75837441291797,1
17691.212,17691.212,17690.111,17690.111,1.1009999999987485,0.0,17690.372211839993,74.75837441291797,1
17690.106,17690.106,17688.913,17688.913,1.1929999999993015,-1.1980000000003201,17690.106900596358,74.38878374724658,1
17690.106,17690.106,17688.913,17688.913,1.1929999999993015,0.0,17689.889827760657,74.38878374724658,1
17688.913,17688.913,17687.841,17687.841,1.0720000000001164,-1.0720000000001164,17689.517313622353,0.0,0
17686.736,17686.736,17686.683,17686.683,0.052999999999883585,-1.157999999999447,17689.001983872833,0.0,1
17686.683,17686.683,17685.48,17685.48,1.2030000000013388,-1.2030000000013388,17688.36162316868,0.0,1
17685.471,17685.471,17684.138,17684.138,1.3330000000023574,-1.342000000000553,17687.59369168346,0.0,1
17684.124,17684.124,17683.111,17683.111,1.0129999999990105,-1.0269999999982247,17686.77865683192,0.0,0
17683.096,17692.223,17682.567,17691.728,9.656000000002678,8.61699999999837,17687.678537407934,45.86438152011829,0
17691.701,17691.701,17690.8,17690.8,0.9010000000016589,-0.9279999999998836,17688.246076061037,46.17651787149683,1
17690.778,17690.778,17689.726,17689.726,1.0519999999996799,-1.0740000000005239,17688.51515314085,43.663541930578695,0
17689.699,17689.699,17688.759,17688.759,0.9400000000023283,-0.967000000000553,17688.55948893342,43.749999999991914,0
17688.757,17688.757,17687.913,17687.913,0.8440000000009604,-0.8459999999977299,17688.44194549098,41.948203680261706,1
17687.897,17687.897,17686.797,17686.797,1.1000000000021828,-1.1160000000018044,17688.14286449262,41.93595483744816,0
17686.777,17686.777,17685.795,17685.795,0.9819999999999709,-1.0020000000004075,17687.715980039415,39.98607888630469,1
17685.767,17685.767,17684.72,17684.72,1.0469999999986612,-1.0749999999970896,17687.171256395883,40.21561581182603,0
17684.699,17684.699,17683.797,17683.797,0.9020000000018626,-0.9230000000025029,17686.557755232992,38.55480984339567,1
17683.79,17683.79,17682.538,17682.538,1.2520000000004075,-1.2589999999981956,17685.826890645174,38.23490260460426,1
17682.53,17682.53,17681.494,17681.494,1.0360000000000582,-1.044000000001688,17685.03909234605,38.42929135262368,0
17681.486,17681.486,17680.508,17680.508,0.977999999999156,-0.9859999999971478,17684.215257374042,38.804827524094556,1
17680.479,17680.479,17679.347,17679.347,1.131999999997788,-1.1610000000000582,17683.33011966967,39.12372304200067,1
17679.326,17679.326,17678.129,17678.129,1.1970000000001164,-1.2180000000007567,17682.38446154791,38.78736046092747,0
17678.105,17678.105,17677.138,17677.138,0.967000000000553,-0.9910000000018044,17681.43055944829,0.0,0
17677.135,17677.135,17676.19,17676.19,0.944999999999709,-0.9480000000003201,17680.47773045769,0.0,1
17676.168,17676.168,17675.139,17675.139,1.02900000000227,-1.0509999999994761,17679.507052192654,0.0,1
17675.119,17675.119,17673.827,17673.827,1.2919999999976426,-1.3119999999980791,17678.47431543035,0.0,0
17673.812,17673.812,17672.875,17672.875,0.9370000000017171,-0.952000000001135,17677.45625807938,0.0,0
17672.843,17672.843,17671.905,17671.905,0.9380000000019209,-0.9700000000011642,17676.44693842858,0.0,0
17671.899,17671.899,17670.909,17670.909,0.9900000000016007,-0.9959999999991851,17675.440040532474,0.0,1
17670.892,17670.892,17669.707,17669.707,1.1850000000013097,-1.202000000001135,17674.39766952657,0.0,1
17669.689,17669.689,17668.583,17668.583,1.1059999999997672,-1.1239999999997963,17673.340456885377,0.0,1
17668.545,17668.545,17667.401,17667.401,1.1439999999965949,-1.1819999999970605,17672.26055563349,0.0,1
17667.396,17667.396,17666.272,17666.272,1.1239999999997963,-1.129000000000815,17671.171727336492,0.0,0
17666.261,17666.261,17665.28,17665.28,0.9809999999997672,-0.9920000000020082,17670.1005041844,0.0,1
17665.261,17665.261,17664.158,17664.158,1.102999999999156,-1.1219999999993888,17669.020048878145,0.0,1
17664.143,17664.143,17663.119,17663.119,1.0240000000012515,-1.0390000000006694,17667.9471309003,0.0,1
