epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas
1750146120,17660.831,17660.831,17659.723,17659.723,1.108,-1.109,-6.27377E-05,-6.12014E-05,0,17663.68234,1.108,0,0,0,1
1750146180,17659.705,17659.705,17658.494,17658.494,1.211,-1.229,-6.85742E-05,-0.000063787,0,17662.739,1.211,0,0,0,1
1750146240,17658.487,17658.487,17657.33,17657.33,1.157,-1.164,-6.55209E-05,-0.000064346,0,17661.75554,1.157,0,0,0,1
1750146300,17657.328,17657.328,17656.16,17656.16,1.168,-1.17,-6.61482E-05,-6.65923E-05,0,17660.73816,1.168,0,0,0,1
1750146360,17656.124,17656.124,17655.215,17655.215,0.909,-0.945,-5.14836E-05,-6.28929E-05,0,17659.73394,0.909,0,0,0,1
1750146420,17655.2,17655.2,17654.116,17654.116,1.084,-1.099,-6.13983E-05,-0.000062625,0,17658.71249,1.084,0,0,0,1
1750146480,17654.076,17654.076,17653.188,17653.188,0.888,-0.928,-0.0000503,-5.89702E-05,0,17657.70803,0.888,0,0,0,1
1750146540,17653.182,17653.182,17652.14,17652.14,1.042,-1.048,-5.90262E-05,-5.76713E-05,0,17656.69566,1.042,0,0,0,1
1750146600,17652.134,17652.134,17651.139,17651.139,0.995,-1.001,-5.63671E-05,-0.000055715,0,17655.68535,0.995,0,0,0,1
1750146660,17651.116,17651.116,17650.227,17650.227,0.889,-0.912,-5.03651E-05,-5.54913E-05,0,17654.69292,0.889,0,0,0,1
1750146720,17650.222,17650.222,17649.271,17649.271,0.951,-0.956,-5.38803E-05,-5.39877E-05,0,17653.70711,0.951,0,0,0,1
1750146780,17649.254,17649.254,17648.257,17648.257,0.997,-1.014,-5.64896E-05,-5.52257E-05,0,17652.71617,0.997,0,0,0,1
1750146840,17648.233,17648.233,17647.024,17647.024,1.209,-1.233,-6.85054E-05,-5.71215E-05,0,17651.68123,1.209,0,0,0,1
1750146900,17647.012,17647.012,17646.007,17646.007,1.005,-1.017,-5.69502E-05,-5.72381E-05,0,17650.64954,1.005,0,0,0,1
1750146960,17645.984,17645.984,17644.883,17644.883,1.101,-1.124,-6.23938E-05,-5.96439E-05,0,17649.60107,1.101,0,0,0,1
1750147020,17644.865,17644.865,17643.838,17643.838,1.027,-1.045,-5.82039E-05,-6.05086E-05,0,17648.55324,1.027,0,0,0,1
1750147080,17643.832,17643.832,17642.797,17642.797,1.035,-1.041,-5.86607E-05,-6.09428E-05,0,17647.50664,1.035,0,0,0,1
1750147140,17642.783,17642.783,17641.663,17641.663,1.12,-1.134,-0.000063482,-5.99381E-05,0,17646.44416,1.12,0,0,0,1
1750147200,17641.634,17641.634,17640.482,17640.482,1.152,-1.181,-6.53001E-05,-6.16081E-05,0,17645.36012,1.152,0,0,0,1
1750147260,17640.46,17640.46,17639.418,17639.418,1.042,-1.064,-5.90688E-05,-6.09431E-05,0,17644.27973,1.042,0,0,0,1
