open,high,low,close,spread,momentum,ema,rsi
18288.41,18288.41,18287.174,18287.174,1.2360000000007858,-6.862262472084879e-05,18292.26208251554,37.11578297861365
18287.173,18287.173,18286.009,18286.009,1.1640000000006694,-6.370585198134382e-05,18291.42833818013,35.28057627708262
18286.004,18286.004,18284.874,18284.874,1.1300000000010186,-6.206931211716338e-05,18290.554426422783,33.54056770249492
18284.865,18284.865,18283.786,18283.786,1.0790000000015425,-5.950273433652509e-05,18289.65196956641,31.91562949635041
18283.76,18283.76,18282.708,18282.708,1.05199999999968,-5.895934244692924e-05,18288.726106957554,30.34687506175181
18282.707,18282.707,18281.501,18281.501,1.205999999998312,-6.601866638134002e-05,18287.762759363213,28.648894875449272
18281.478,18281.478,18280.386,18280.386,1.092000000000553,-6.099061559561303e-05,18286.77919144812,27.13828169973329
18280.383,18280.383,18279.304,18279.304,1.0790000000015425,-5.91891221551899e-05,18285.78249925504,25.720956260801604
18279.268,18279.268,18278.117,18278.117,1.151000000001659,-6.493682691643965e-05,18284.760432687697,24.226166626790665
18278.086,18278.086,18277.002,18277.002,1.0839999999989232,-6.100190736268996e-05,18283.725974996003,22.88099790703673
18276.982,18276.982,18275.769,18275.769,1.212999999999738,-6.74618298996954e-05,18282.66504499653,21.461836371088577
18275.759,18275.759,18274.674,18274.674,1.0849999999991269,-5.991539945604529e-05,18281.59957233033,20.260034758327773
18274.654,18274.654,18273.595,18273.595,1.058999999997468,-5.9043460912011625e-05,18280.53229601962,19.123641853238208
18273.591,18303.275,18272.804,18303.021,30.471000000001368,0.0016103016401534,18283.53078988368,69.44993466822199
18302.981,18302.981,18301.883,18301.883,1.0979999999981374,-6.217552829113071e-05,18285.97775123252,67.69553280894371
18301.847,18301.847,18300.849,18300.849,0.9980000000032304,-5.649691892373188e-05,18287.96058440152,66.06257231684629
18300.84,18300.84,18299.773,18299.773,1.0669999999990978,-5.879508650108445e-05,18289.53557314798,64.32371790592616
18299.75,18299.75,18298.739,18298.739,1.010999999998603,-5.650343313001738e-05,18290.76269672825,62.61802800309795
18298.731,18298.731,18297.52,18297.52,1.2109999999993306,-6.661661221574189e-05,18291.66367049781,60.57856527170558
18297.515,18297.515,18296.341,18296.341,1.173999999999069,-6.443496167785057e-05,18292.28731443144,58.590908458259385
18296.304,18296.304,18295.165,18295.165,1.1389999999992142,-6.427514659890221e-05,18292.67100584058,56.59616245803444
18295.13,18295.13,18293.923,18293.923,1.2070000000021537,-6.788678866809228e-05,18292.83793839517,54.48634910231811
18293.886,18293.886,18292.907,18292.907,0.9789999999993596,-5.553756840448454e-05,18292.847146609147,52.753869350364646
18292.894,18292.894,18291.677,18291.677,1.217000000000553,-6.723917636486387e-05,18292.69112706126,50.65400920563962
18291.645,18291.645,18290.343,18290.343,1.30199999999968,-7.29293437664591e-05,18292.378043453093,48.40366129718659
18290.308,18318.655,18290.147,18317.884,28.507999999997992,0.0015057672783937,18295.778837659345,74.04276470850934
18317.876,18317.876,18316.928,18316.928,0.94800000000032,-5.218943410700838e-05,18298.59872597143,72.69244655817502
18316.9,18316.9,18315.763,18315.763,1.1370000000024447,-6.36023682574205e-05,18300.887295841905,70.99332782021484
18315.762,18315.762,18314.62,18314.62,1.1419999999998254,-6.240526261447332e-05,18302.718323062985,69.28228209186784
18314.619,18314.619,18313.667,18313.667,0.9519999999974972,-5.203493165562012e-05,18304.178146654587,67.81471032994129
18313.66,18313.66,18312.763,18312.763,0.897000000000844,-4.936204202043992e-05,18305.322793767307,66.37834862050485
18312.735,18312.735,18311.702,18311.702,1.032999999999447,-5.793773446405304e-05,18306.173354598333,64.64763897757827
18311.692,18311.692,18310.816,18310.816,0.8760000000002037,-4.838436099507959e-05,18306.792373985223,63.16652734535106
18310.804,18310.804,18309.717,18309.717,1.0869999999995343,-6.001917118270139e-05,18307.182324120527,61.29076078064164
18309.704,18309.704,18308.634,18308.634,1.070000000003347,-5.914892076175349e-05,18307.375880904456,59.41823843758372
18308.629,18308.629,18307.759,18307.759,0.8700000000026193,-4.7791659388729535e-05,18307.42696345053,57.87965100796508
18307.716,18307.716,18306.672,18306.672,1.044000000001688,-5.937373328979145e-05,18307.326301657125,55.94169375365284
18306.638,18306.638,18305.559,18305.559,1.0789999999979043,-6.079750595833211e-05,18307.09066143617,53.94983422349661
18305.538,18305.538,18304.495,18304.495,1.0430000000014843,-5.812442001917884e-05,18306.744573244683,52.04213734975439
18304.487,18304.487,18303.507,18303.507,0.9799999999995634,-5.397581304467103e-05,18306.31289681205,50.2647472507948
18303.482,18303.482,18302.389,18302.389,1.0930000000007567,-6.108119061565276e-05,18305.78971057045,48.256341005464925
18302.387,18302.387,18301.274,18301.274,1.1129999999975553,-6.092100872723272e-05,18305.187615827723,46.27065114381714
18301.245,18301.245,18300.24,18300.24,1.0049999999973809,-5.649879893609988e-05,18304.52793371736,44.44422254880486
18300.216,18300.216,18299.202,18299.202,1.0139999999992142,-5.672056759908895e-05,18303.81780922172,42.625252493755006
18299.183,18299.183,18298.173,18298.173,1.0100000000020373,-5.623196027904065e-05,18303.06516799215,40.84079137602232
18298.172,18298.172,18297.146,18297.146,1.025999999998021,-5.6125821960351097e-05,18302.2759455932,39.0822234789027
18297.14,18297.14,18296.111,18296.111,1.028999999998632,-5.656619890337389e-05,18301.45395284744,37.33735333665264
18296.068,18296.068,18294.994,18294.994,1.074000000000524,-6.105122558575093e-05,18300.59262580112,35.49550158421031
