fecha,ganancia_total
2025-06-16,-13.75
2025-06-17,-239.2600000000009
2025-06-18,-305.0399999999997
2025-06-19,-15.07
2025-06-20,-11.819999999999997
2025-06-21,-38.85000000000002
2025-06-23,-9.13
2025-07-03,-0.69
2025-07-08,12.0
